"","ZEIT","182","183","184","185","281","282","283","284","285","286","287","288","289","290","291","292","352","353","354","355","368","369","370","371","388","389","390","391","392","393","394","395","396","397","417","418","420","421","422","423","491","492","493","494","495","496","497","498","499","500","501","502","503","504","505","506","507","508","509","510","511","512","513","514","769","770","909","910","911","912","913","914","915","916","921","922","923","924","925","926","1076","1077","1078","1079","1080","1081","1082","1083","1084","1085","1086","1087","1088","1089","1090","1091","1092","1093","1094","1117","1118","1119","1128","1129","1130","1131","1132","1133","1134","1135","1136","1137","1138","1139","1140","1141","1142","1143","1144","1178","1179","1180","1181","1182","1183","1184","1185"
"503","2015-07-01 08:22:00",2,0,9,8,3,1,11,0,9,11,12,15,18,22,6,10,3,1,14,11,6,12,0,0,0,0,3,0,7,4,2,1,14,10,4,11,1,2,4,7,10,15,7,8,7,5,10,6,9,11,5,1,9,4,5,8,3,6,5,5,9,11,6,12,16,17,7,4,23,9,4,1,7,10,9,4,10,10,8,7,8,3,3,4,5,5,3,7,4,4,3,8,2,3,0,14,6,5,7,5,0,12,8,8,10,8,6,8,15,14,9,13,13,11,3,9,22,1,1,12,4,6,4,5,4,9,7
"504","2015-07-01 08:23:00",5,7,4,4,3,5,5,0,13,8,8,9,6,9,15,19,17,19,21,18,16,8,11,9,9,7,7,9,6,7,1,2,6,3,14,10,12,7,11,10,6,7,8,15,9,3,10,16,3,9,5,5,6,5,2,6,5,0,2,0,13,10,12,18,6,1,6,4,6,1,12,9,3,10,7,0,2,11,4,14,2,1,2,2,7,0,1,0,0,10,2,5,2,14,8,8,6,9,8,10,0,15,3,4,3,10,6,17,3,5,4,4,3,14,7,10,20,19,18,7,13,3,7,8,13,8,4
"505","2015-07-01 08:24:00",7,9,6,14,8,11,11,0,11,15,10,10,17,23,6,8,14,10,1,0,11,8,0,0,2,6,4,4,8,8,2,5,4,1,12,7,2,0,4,1,8,11,6,10,8,3,9,11,13,17,7,5,0,5,4,5,3,3,7,4,7,4,7,9,10,7,5,4,17,3,3,2,8,11,5,5,7,10,11,3,4,3,3,1,18,7,6,8,1,4,4,13,5,7,3,6,11,1,3,8,1,8,1,13,13,15,11,9,6,2,3,7,12,6,3,8,6,2,8,8,5,5,3,5,6,3,2
"516","2015-07-01 08:35:00",9,8,10,13,5,2,10,0,3,4,2,2,18,20,13,17,14,8,16,17,20,5,15,8,3,3,1,5,5,7,5,8,7,2,17,9,2,0,3,2,7,6,1,4,9,4,12,7,16,20,9,5,2,3,1,2,8,2,3,0,11,11,6,9,15,10,6,6,6,0,6,6,8,8,2,0,1,3,4,4,2,2,4,3,7,2,2,3,1,6,1,5,6,5,8,10,13,0,2,10,0,13,6,11,14,11,4,16,6,5,6,6,4,10,13,23,20,5,5,5,3,10,3,1,14,6,3
"517","2015-07-01 08:36:00",5,3,3,5,4,1,1,0,13,14,4,9,2,5,9,11,22,11,13,8,9,7,0,0,8,15,7,11,8,5,2,1,10,3,21,6,14,6,8,4,9,10,14,16,11,7,14,12,3,5,8,5,9,4,2,11,1,6,13,3,11,7,5,20,3,5,4,2,9,5,0,4,6,9,10,4,10,8,6,10,1,3,9,11,13,8,0,7,1,10,2,9,5,7,7,9,21,4,8,14,1,14,2,2,6,13,9,11,10,8,5,10,10,10,6,6,7,13,11,7,3,2,1,0,1,2,1
"518","2015-07-01 08:37:00",5,9,2,5,7,10,10,0,9,10,6,20,20,23,7,12,4,2,19,16,20,8,13,14,2,0,3,1,10,5,2,4,2,1,7,8,1,2,12,2,5,2,15,14,3,0,15,18,6,10,6,6,1,2,0,7,4,3,5,2,11,19,13,14,7,11,6,4,4,2,5,8,6,7,9,1,4,5,12,6,2,5,2,2,12,6,1,8,3,6,4,8,5,4,0,16,19,6,0,6,1,12,3,10,6,9,5,6,5,9,6,6,11,13,9,17,16,11,10,12,8,8,1,5,13,8,4
"519","2015-07-01 08:38:00",6,4,8,17,4,2,15,0,4,8,3,3,7,9,11,11,22,15,17,18,6,7,0,0,12,19,10,19,4,7,4,4,14,5,3,10,12,6,1,15,6,8,5,10,9,8,10,6,8,9,4,2,4,2,3,8,8,4,3,1,11,11,6,11,7,7,5,1,13,8,0,0,8,7,10,2,3,4,8,8,5,4,3,2,5,0,1,1,0,10,9,4,5,5,3,10,12,1,7,4,0,11,3,10,9,17,10,13,10,10,7,11,8,7,13,12,15,6,5,3,2,5,2,7,11,10,4
"520","2015-07-01 08:39:00",6,4,3,9,4,2,2,0,14,20,13,13,19,12,9,8,14,9,2,1,19,14,10,6,5,5,3,7,10,11,5,1,16,4,9,10,0,1,2,1,3,4,18,15,2,2,24,14,4,6,4,8,10,3,2,9,5,6,8,5,2,4,8,13,13,9,5,7,3,2,11,8,5,6,5,0,7,20,6,6,5,6,5,1,13,9,3,5,3,2,1,7,4,3,3,12,18,3,3,5,0,13,3,8,14,8,4,13,15,7,3,7,7,8,10,4,5,12,12,8,9,2,1,1,3,2,0
"537","2015-07-01 08:56:00",5,6,3,7,5,9,8,0,7,12,7,7,12,11,18,16,16,16,8,11,10,6,0,0,9,9,8,12,8,8,4,3,2,0,6,7,6,7,4,3,1,0,11,17,17,6,7,8,9,10,6,11,1,5,4,8,3,6,11,3,12,9,9,12,5,5,16,5,12,8,1,8,4,2,7,1,6,13,7,1,4,6,2,3,10,6,0,4,0,5,3,4,2,9,7,4,23,7,2,16,0,9,2,4,2,11,6,11,12,6,6,12,6,12,7,7,10,12,13,4,1,3,1,8,4,12,7
